,Entity,Year,Percentage of Individuals using the Internet (ICT),Mobile cellular subscriptions
153,Antigua and Barbuda,2013,63.4,127.0856254
154,Argentina,1990,,0.036781751
155,Argentina,1991,,0.075585347
156,Argentina,1992,,0.138988317
157,Argentina,1993,,0.329780857
158,Argentina,1994,,0.701068622
159,Argentina,1995,,1.1638189209999998
160,Argentina,1996,,1.891500329
161,Argentina,1997,,5.62910957
162,Argentina,1998,,7.396595596
163,Argentina,1999,,10.54064245
164,Argentina,2000,7.04,17.58105905
165,Argentina,2001,9.78,18.08742442
166,Argentina,2002,10.88,17.4519491
167,Argentina,2003,11.91,20.653537300000004
168,Argentina,2004,16.04,35.27228837
169,Argentina,2005,17.72,57.32899426
170,Argentina,2006,20.93,80.81882641
171,Argentina,2007,25.95,102.72152829999999
172,Argentina,2008,28.11,117.2211834
173,Argentina,2009,34.0,131.1294492
174,Argentina,2010,45.0,141.383022
175,Argentina,2011,51.0,149.09062240000003
176,Argentina,2012,55.8,156.56475600000002
177,Argentina,2013,59.9,162.5274217
178,Armenia,1990,,0.0
179,Armenia,1991,,0.0
180,Armenia,1992,,0.0
181,Armenia,1993,,0.0
182,Armenia,1994,,0.0
183,Armenia,1995,,0.0
184,Armenia,1996,,0.009453508000000001
185,Armenia,1997,,0.15935483
186,Armenia,1998,,0.251561377
187,Armenia,1999,,0.263783931
188,Armenia,2000,1.3,0.568447429
189,Armenia,2001,1.63,0.833474947
190,Armenia,2002,1.96,2.341613166
191,Armenia,2003,4.58,3.767384533
192,Armenia,2004,4.9,6.719510372999999
193,Armenia,2005,5.25,10.54901346
194,Armenia,2006,5.63,41.95135986
195,Armenia,2007,6.02,62.7586975
196,Armenia,2008,6.21,48.43008603
197,Armenia,2009,15.3,73.83377008
198,Armenia,2010,25.0,130.43223270000001
199,Armenia,2011,32.0,108.336201
200,Armenia,2012,37.5,111.91466319999999
201,Armenia,2013,41.9,112.42065520000001
202,Aruba,1990,,0.0
203,Aruba,1991,,0.0
204,Aruba,1992,,0.029310471
205,Aruba,1995,,2.138784453
206,Aruba,1996,,3.605985937
207,Aruba,1997,,3.98141538
208,Aruba,1998,,6.16435217
209,Aruba,1999,,13.48254011
210,Aruba,2000,15.44,16.50927821
211,Aruba,2001,17.1,57.05427692
212,Aruba,2002,18.8,65.05605558
213,Aruba,2003,20.8,72.10431377
214,Aruba,2004,23.0,99.64250268
215,Aruba,2005,25.4,103.3849507
216,Aruba,2006,28.0,108.13250020000001
217,Aruba,2007,30.9,112.2180618
218,Aruba,2008,52.0,119.2038996
219,Aruba,2009,58.0,126.2103374
220,Aruba,2010,62.0,129.72824
221,Aruba,2012,74.0,131.8565401
222,Aruba,2013,78.9,134.873823
223,Australia,1990,,1.081736077
224,Australia,1991,,1.682627998
225,Australia,1992,,2.835372025
226,Australia,1993,,3.892879466
227,Australia,1994,,6.807810813
228,Australia,1995,,12.37017796
229,Australia,1996,,21.7568676
230,Australia,1997,,24.66137476
231,Australia,1998,,26.16715738
232,Australia,1999,,33.18891382
233,Australia,2000,46.76,44.45626668
234,Australia,2001,52.69,57.12450962
235,Australia,2002,,64.26700989999999
236,Australia,2003,,71.9035383
237,Australia,2004,,81.50958522
238,Australia,2005,63.0,89.76286231
239,Australia,2006,66.0,94.70140374
240,Australia,2007,69.45,100.0646043
241,Australia,2008,71.67,102.1940537
242,Australia,2009,74.25,100.73901140000001
243,Australia,2010,76.0,100.4263074
244,Australia,2011,79.49,104.610551
245,Australia,2012,79.0,105.585695
246,Australia,2013,83.0,106.84349740000002
247,Austria,1990,,0.96086037
248,Austria,1991,,1.493599184
249,Austria,1992,,2.211730703
250,Austria,1993,,2.805498884
251,Austria,1994,,3.504549191
252,Austria,1995,,4.80296973
253,Austria,1996,,7.475118127999999
254,Austria,1997,,14.47070198
255,Austria,1998,,28.62886002
256,Austria,1999,,53.07787628
257,Austria,2000,33.73,76.26932886
258,Austria,2001,39.19,81.26031128
259,Austria,2002,36.56,83.24472516
260,Austria,2003,42.7,89.33569564
261,Austria,2004,54.28,97.54481697
262,Austria,2005,58.0,105.17558559999999
263,Austria,2006,63.6,112.124675
264,Austria,2007,69.37,119.2569828
265,Austria,2008,72.87,129.65515159999998
266,Austria,2009,73.45,136.57901
267,Austria,2010,75.17,145.6928199
268,Austria,2011,78.74,154.426039
269,Austria,2012,80.03,160.5397387
270,Austria,2013,80.62,156.2304116
271,Azerbaijan,1990,,0.0
272,Azerbaijan,1991,,0.0
273,Azerbaijan,1992,,0.0
274,Azerbaijan,1993,,0.0
275,Azerbaijan,1994,,0.0065145490000000006
276,Azerbaijan,1995,,0.077212068
277,Azerbaijan,1996,,0.216497822
278,Azerbaijan,1997,,0.504939253
279,Azerbaijan,1998,,0.814081353
280,Azerbaijan,1999,,4.597452067
281,Azerbaijan,2000,0.15,5.178780011000001
282,Azerbaijan,2001,0.31,8.907406533
283,Azerbaijan,2002,5.0,9.592056203
284,Azerbaijan,2003,,12.62937463
285,Azerbaijan,2004,,17.20615651
286,Azerbaijan,2005,8.03,26.18119583
287,Azerbaijan,2006,11.99,38.35542641
288,Azerbaijan,2007,14.54,51.52721935
289,Azerbaijan,2008,17.08,73.75810024
290,Azerbaijan,2009,27.4,86.32194952
291,Azerbaijan,2010,46.0,100.0593201
292,Azerbaijan,2011,50.0,109.97207040000002
293,Azerbaijan,2012,54.2,108.76833810000001
294,Azerbaijan,2013,58.7,107.6134072
295,Bahamas,1990,,0.749791291
296,Bahamas,1991,,0.7736440170000001
297,Bahamas,1992,,0.977087303
298,Bahamas,1993,,0.8856347170000001
299,Bahamas,1995,,1.464024281
300,Bahamas,1996,,1.744231135
301,Bahamas,1997,,2.161446077
302,Bahamas,1998,,2.7841587160000003
303,Bahamas,1999,,5.422195867999999
304,Bahamas,2000,8.0,10.58708553
305,Bahamas,2001,11.8,19.98481873
306,Bahamas,2002,18.0,39.3992344
307,Bahamas,2003,20.0,38.72582567
308,Bahamas,2004,22.0,57.69447891
309,Bahamas,2005,25.0,69.21279415
310,Bahamas,2006,26.0,75.37855087
311,Bahamas,2007,27.0,109.340767
312,Bahamas,2008,31.54,102.78750649999999
313,Bahamas,2009,33.88,101.21864529999999
314,Bahamas,2010,43.0,118.8292307
315,Bahamas,2011,65.0,81.5628489
316,Bahamas,2012,71.75,80.65383375
317,Bahamas,2013,72.0,76.05187427
318,Bahrain,1990,,1.0378187859999999
319,Bahrain,1991,,1.442965201
320,Bahrain,1992,,1.852315921
321,Bahrain,1993,,2.120546339
322,Bahrain,1994,,3.207749877
323,Bahrain,1995,,4.895960832
324,Bahrain,1996,,6.913956774
325,Bahrain,1997,,9.799631737999999
326,Bahrain,1998,,14.90809458
327,Bahrain,1999,,20.82466731
328,Bahrain,2000,6.15,30.78644018
329,Bahrain,2001,15.04,42.87476619
330,Bahrain,2002,18.05,53.10146463
331,Bahrain,2003,21.55,57.39322693
332,Bahrain,2004,21.46,79.19074229
333,Bahrain,2005,21.3,87.21698081
334,Bahrain,2006,28.24,95.42373897
335,Bahrain,2007,32.91,108.10052379999999
336,Bahrain,2008,51.95,129.09793390000002
337,Bahrain,2009,53.0,117.66077320000001
338,Bahrain,2010,55.0,125.2084477
339,Bahrain,2011,77.0,131.00999099999999
340,Bahrain,2012,88.0,161.1670576
341,Bahrain,2013,90.0,165.9088811
342,Bangladesh,1990,,0.0
343,Bangladesh,1991,,0.0
344,Bangladesh,1992,,0.00022235900000000002
345,Bangladesh,1993,,0.00043517
346,Bangladesh,1994,,0.000940619
347,Bangladesh,1995,,0.0020856
348,Bangladesh,1996,,0.00326795
349,Bangladesh,1997,,0.020809104
350,Bangladesh,1998,,0.058833439
351,Bangladesh,1999,,0.114644643
352,Bangladesh,2000,0.07,0.21075171399999998
353,Bangladesh,2001,0.13,0.385958523
354,Bangladesh,2002,0.14,0.7846355709999999
355,Bangladesh,2003,0.16,0.980702181
356,Bangladesh,2004,0.2,1.969454675
357,Bangladesh,2005,0.24,6.28776238
358,Bangladesh,2006,1.0,13.20573922
359,Bangladesh,2007,1.8,23.46762823
360,Bangladesh,2008,2.5,30.16828408
361,Bangladesh,2009,3.1,34.35334451
362,Bangladesh,2010,3.7,44.94535882
363,Bangladesh,2011,4.5,55.19256723
364,Bangladesh,2012,5.0,62.82023906
365,Bangladesh,2013,6.63,74.42964608
366,Barbados,1990,,0.0
367,Barbados,1991,,0.186797348
368,Barbados,1992,,0.305024084
369,Barbados,1993,,0.59607052
370,Barbados,1994,,1.130539817
371,Barbados,1995,,1.7532726619999999
372,Barbados,1996,,2.3809704259999998
373,Barbados,1997,,3.028276003
374,Barbados,1998,,4.521988167
375,Barbados,1999,,7.628652993999999
376,Barbados,2000,3.97,10.6542161
377,Barbados,2001,11.94,19.79567344
378,Barbados,2002,27.84,36.06098158
379,Barbados,2003,39.69,51.69027189
380,Barbados,2004,49.8,73.5247332
381,Barbados,2005,52.5,75.37065739
382,Barbados,2006,55.3,86.2492407
383,Barbados,2007,58.2,93.23830793
384,Barbados,2008,61.4,103.97213599999999
385,Barbados,2009,64.7,120.80779620000001
386,Barbados,2010,65.1,124.8452189
387,Barbados,2011,67.0,123.46063219999999
388,Barbados,2012,70.0,123.3298378
389,Barbados,2013,73.0,108.10275290000001
390,Belarus,1990,,0.0
391,Belarus,1991,,0.0
392,Belarus,1992,,0.0
393,Belarus,1993,,0.003162103
394,Belarus,1994,,0.016869419
395,Belarus,1995,,0.057875715
396,Belarus,1996,,0.064472565
397,Belarus,1997,,0.080697147
398,Belarus,1998,,0.120576083
399,Belarus,1999,,0.23375711
400,Belarus,2000,1.86,0.49444670399999996
401,Belarus,2001,4.3,1.3944212459999998
402,Belarus,2002,8.95,4.695385078999999
403,Belarus,2003,,11.42668966
404,Belarus,2004,,23.03795343
405,Belarus,2005,,42.41718896
406,Belarus,2006,16.2,61.95195003
407,Belarus,2007,19.7,72.61067076
408,Belarus,2008,23.0,85.05828031
409,Belarus,2009,27.43,101.68400820000001
410,Belarus,2010,31.8,108.86970590000001
411,Belarus,2011,39.65,113.1688625
412,Belarus,2012,46.91,113.5179254
413,Belarus,2013,54.17,118.786176
414,Belgium,1990,,0.42973506100000003
415,Belgium,1991,,0.513631256
416,Belgium,1992,,0.611545879
417,Belgium,1993,,0.671587939
418,Belgium,1994,,1.264320986
419,Belgium,1995,,2.315095365
420,Belgium,1996,,4.694050625
421,Belgium,1997,,9.548274196
422,Belgium,1998,,17.1799361
423,Belgium,1999,,31.11171947
424,Belgium,2000,29.43,54.81877375
425,Belgium,2001,31.29,74.72253301
426,Belgium,2002,46.33,78.36155617
427,Belgium,2003,49.97,82.86829993
428,Belgium,2004,53.86,87.46025396
429,Belgium,2005,55.82,91.40294897
430,Belgium,2006,59.72,93.00741585
431,Belgium,2007,64.44,100.5624899
432,Belgium,2008,66.0,105.28315800000001
433,Belgium,2009,70.0,108.40325849999999
434,Belgium,2010,75.0,111.08418859999999
435,Belgium,2011,81.61,113.5309512
436,Belgium,2012,80.72,111.33154820000001
437,Belgium,2013,82.17,110.90317990000001
438,Belize,1990,,0.0
439,Belize,1991,,0.0
440,Belize,1992,,0.0
441,Belize,1993,,0.20159258100000002
442,Belize,1994,,0.411172831
443,Belize,1995,,0.7474802140000001
444,Belize,1996,,1.028369629
445,Belize,1997,,1.164387324
446,Belize,1998,,1.570531759
447,Belize,1999,,2.8426636760000004
448,Belize,2000,5.96,7.0465157220000005
449,Belize,2001,,15.96872731
450,Belize,2002,5.68,20.54645981
451,Belize,2003,,23.38066005
452,Belize,2004,9.8,28.29761545
453,Belize,2005,17.0,35.30450132
454,Belize,2006,24.0,42.296180799999995
455,Belize,2007,24.6,41.34020042
456,Belize,2008,26.3,54.51721037
457,Belize,2009,27.2,53.74564807
458,Belize,2010,28.2,62.93070205
459,Belize,2011,30.7,70.31965347
460,Belize,2012,31.0,53.20712214
461,Belize,2013,33.6,52.61072612
462,Benin,1990,,0.0
463,Benin,1991,,0.0
464,Benin,1992,,0.0
465,Benin,1993,,0.0
466,Benin,1994,,0.0
467,Benin,1995,,0.017541931
468,Benin,1996,,0.043828702000000004
469,Benin,1997,,0.067517635
470,Benin,1998,,0.09602087699999999
471,Benin,1999,,0.10784080900000001
472,Benin,2000,0.23,0.79828865
473,Benin,2001,0.36,1.742181889
474,Benin,2002,0.7,2.950472734
475,Benin,2003,0.95,3.08093958
476,Benin,2004,1.18,5.797473517999999
477,Benin,2005,1.27,7.28722342
478,Benin,2006,1.54,12.50317546
479,Benin,2007,1.79,23.56334604
480,Benin,2008,1.85,40.40173435
481,Benin,2009,2.24,54.46885832
482,Benin,2010,3.13,74.39604921
483,Benin,2011,4.15,79.40049868
484,Benin,2012,4.5,83.65431589
485,Benin,2013,4.9,93.25782193
486,Bermuda,1990,,1.859593966
487,Bermuda,1991,,2.393935364
488,Bermuda,1992,,3.200793585
489,Bermuda,1993,,5.592013289
490,Bermuda,1994,,8.390338101000001
491,Bermuda,1995,,10.29850017
492,Bermuda,1996,,12.9329206
493,Bermuda,1997,,16.57633243
494,Bermuda,1998,,20.18755219
495,Bermuda,1999,,20.46133926
496,Bermuda,2000,42.95,20.68844789
497,Bermuda,2001,47.51,21.12459598
498,Bermuda,2002,52.03,47.32383702
499,Bermuda,2003,56.52,62.83281758
500,Bermuda,2004,60.99,76.66911799
501,Bermuda,2005,65.45,82.19904267
502,Bermuda,2006,69.9,93.41436498
503,Bermuda,2007,74.35,106.9568452
504,Bermuda,2008,82.3,122.1643187
505,Bermuda,2009,83.25,131.1485527
506,Bermuda,2010,84.21,135.794676
507,Bermuda,2012,91.3,139.5363101
508,Bermuda,2013,95.3,144.31979919999998
509,Bhutan,1990,,0.0
510,Bhutan,1991,,0.0
511,Bhutan,1992,,0.0
512,Bhutan,1993,,0.0
513,Bhutan,1994,,0.0
514,Bhutan,1995,,0.0
515,Bhutan,1996,,0.0
516,Bhutan,1997,,0.0
517,Bhutan,1998,,0.0
518,Bhutan,1999,,0.0
519,Bhutan,2000,0.4,0.0
520,Bhutan,2001,0.86,0.0
521,Bhutan,2002,1.68,0.0
522,Bhutan,2003,2.44,0.36584396399999997
523,Bhutan,2004,3.16,3.0191215239999996
524,Bhutan,2005,3.85,5.53491068
525,Bhutan,2006,4.52,12.33202317
526,Bhutan,2007,5.92,21.99686472
527,Bhutan,2008,6.55,36.61427504
528,Bhutan,2009,7.17,48.10756491
529,Bhutan,2010,13.6,54.99993723
530,Bhutan,2011,21.0,66.37918152
531,Bhutan,2012,24.0,75.6097824
532,Bhutan,2013,29.9,72.19831102
533,Bolivia,1990,,0.0
534,Bolivia,1991,,0.004240494
535,Bolivia,1992,,0.021773635
536,Bolivia,1993,,0.036460894
537,Bolivia,1994,,0.054342489
538,Bolivia,1995,,0.094677895
539,Bolivia,1996,,0.42782376200000005
540,Bolivia,1997,,1.4843979230000002
541,Bolivia,1998,,2.935775674
542,Bolivia,1999,,5.050749735
543,Bolivia,2000,1.44,6.858168503
544,Bolivia,2001,2.12,8.996551647
545,Bolivia,2002,3.12,11.57177993
546,Bolivia,2003,3.51,14.18292347
547,Bolivia,2004,4.44,19.60018982
548,Bolivia,2005,5.23,25.88431131
549,Bolivia,2006,6.2,30.21985533
550,Bolivia,2007,10.5,33.63225131
551,Bolivia,2008,12.5,51.23601575
552,Bolivia,2009,16.8,64.68655431
553,Bolivia,2010,22.4,70.68598048
554,Bolivia,2011,30.0,80.90771949
555,Bolivia,2012,35.34,90.44349501
556,Bolivia,2013,36.94,97.69945273
557,Bosnia and Herzegovina,1990,,0.0
558,Bosnia and Herzegovina,1991,,0.0
559,Bosnia and Herzegovina,1992,,0.0
560,Bosnia and Herzegovina,1993,,0.0
561,Bosnia and Herzegovina,1994,,0.0
562,Bosnia and Herzegovina,1995,,0.0
563,Bosnia and Herzegovina,1996,,0.043034507
564,Bosnia and Herzegovina,1997,,0.254525031
565,Bosnia and Herzegovina,1998,,0.691629718
566,Bosnia and Herzegovina,1999,,1.402104049
567,Bosnia and Herzegovina,2000,1.08,2.435501689
568,Bosnia and Herzegovina,2001,1.2,11.46353529
569,Bosnia and Herzegovina,2002,2.65,19.21141303
570,Bosnia and Herzegovina,2003,3.97,27.58857728
571,Bosnia and Herzegovina,2004,15.47,36.21150774
572,Bosnia and Herzegovina,2005,21.33,41.09375467
573,Bosnia and Herzegovina,2006,25.12,48.7159617
574,Bosnia and Herzegovina,2007,27.92,63.34032541
575,Bosnia and Herzegovina,2008,34.66,82.33282857
576,Bosnia and Herzegovina,2009,37.74,84.52795238
577,Bosnia and Herzegovina,2010,42.75,80.87078571
578,Bosnia and Herzegovina,2011,47.77,82.60007887
579,Bosnia and Herzegovina,2012,52.78,87.57471473
580,Bosnia and Herzegovina,2013,57.79,91.09530785
581,Botswana,1990,,0.0
582,Botswana,1991,,0.0
583,Botswana,1992,,0.0
584,Botswana,1993,,0.0
585,Botswana,1994,,0.0
586,Botswana,1995,,0.0
587,Botswana,1996,,0.0
588,Botswana,1997,,0.0
589,Botswana,1998,,0.897675617
590,Botswana,1999,,5.33356832
591,Botswana,2000,2.9,12.65769422
592,Botswana,2001,3.43,18.63146249
593,Botswana,2002,3.39,18.36751842
594,Botswana,2003,3.35,24.28121327
595,Botswana,2004,3.3,28.18941102
596,Botswana,2005,3.26,30.05546952
597,Botswana,2006,4.29,43.41214719
598,Botswana,2007,5.28,60.13830503
599,Botswana,2008,6.25,76.83593118
600,Botswana,2009,6.15,96.02329234
601,Botswana,2010,6.0,120.01024709999999
602,Botswana,2011,8.0,145.98386969999999
603,Botswana,2012,11.5,153.7856491
604,Botswana,2013,15.0,160.6410528
605,Brazil,1990,,0.00044571199999999996
606,Brazil,1991,,0.0044034470000000004
607,Brazil,1992,,0.020698847
608,Brazil,1993,,0.115915349
609,Brazil,1994,,0.360031692
610,Brazil,1995,,0.794074075
611,Brazil,1996,,1.519628432
612,Brazil,1997,,2.7257675860000004
613,Brazil,1998,,4.347740579
614,Brazil,1999,,8.739617433
615,Brazil,2000,2.87,13.28797717
616,Brazil,2001,4.53,16.24346532
617,Brazil,2002,9.15,19.44379918
618,Brazil,2003,13.21,25.51445011
619,Brazil,2004,19.07,35.65289881
620,Brazil,2005,21.02,46.31418452
621,Brazil,2006,28.18,53.11025849
622,Brazil,2007,30.88,63.67475185
623,Brazil,2008,33.83,78.5549801
624,Brazil,2009,39.22,87.54187651
625,Brazil,2010,40.65,100.8810115
626,Brazil,2011,45.69,119.00238529999999
627,Brazil,2012,48.56,125.0018521
628,Brazil,2013,51.04,135.3050481
629,Brunei,1990,,0.6896846990000001
630,Brunei,1991,,1.1443941709999998
631,Brunei,1992,,1.508816445
632,Brunei,1993,,2.969404832
633,Brunei,1994,,5.43654522
634,Brunei,1995,,12.16292716
635,Brunei,1996,,14.38757599
636,Brunei,1997,,14.52062574
637,Brunei,1998,,15.48765187
638,Brunei,1999,,20.33892037
639,Brunei,2000,9.0,28.63161956
640,Brunei,2001,12.92,42.16988977
641,Brunei,2002,15.33,44.35447321
642,Brunei,2003,19.6,50.15283516
643,Brunei,2004,29.72,56.11299429
644,Brunei,2005,36.47,63.31987548
645,Brunei,2006,42.19,80.4383275
646,Brunei,2007,44.68,95.9883599
647,Brunei,2008,46.0,102.79369200000001
648,Brunei,2009,49.0,104.68610550000001
649,Brunei,2010,53.0,108.62148590000001
650,Brunei,2011,56.0,109.015478
651,Brunei,2012,60.27,113.94873840000001
652,Brunei,2013,64.5,112.2144457
653,Bulgaria,1990,,0.0
654,Bulgaria,1991,,0.0
655,Bulgaria,1992,,0.0
656,Bulgaria,1993,,0.011692572
657,Bulgaria,1994,,0.076908205
658,Bulgaria,1995,,0.250295641
659,Bulgaria,1996,,0.321320979
660,Bulgaria,1997,,0.853688207
661,Bulgaria,1998,,1.561842059
662,Bulgaria,1999,,4.339230099
663,Bulgaria,2000,5.37,9.224411944
664,Bulgaria,2001,7.61,19.53377787
665,Bulgaria,2002,9.08,33.00364603
666,Bulgaria,2003,12.04,44.84272118
667,Bulgaria,2004,18.13,61.07153717
668,Bulgaria,2005,19.97,81.27954474
669,Bulgaria,2006,27.09,108.27202209999999
670,Bulgaria,2007,33.64,130.8646368
671,Bulgaria,2008,39.67,138.97555580000002
672,Bulgaria,2009,45.0,140.4048536
673,Bulgaria,2010,46.23,138.0389827
674,Bulgaria,2011,47.98,142.8461575
675,Bulgaria,2012,51.9,148.1311121
676,Bulgaria,2013,53.06,145.1876887
677,Burkina Faso,1990,,0.0
678,Burkina Faso,1991,,0.0
679,Burkina Faso,1992,,0.0
680,Burkina Faso,1993,,0.0
681,Burkina Faso,1994,,0.0
682,Burkina Faso,1995,,0.0
683,Burkina Faso,1996,,0.00506143
684,Burkina Faso,1997,,0.014092851000000002
685,Burkina Faso,1998,,0.024890963
686,Burkina Faso,1999,,0.044637705
687,Burkina Faso,2000,0.08,0.21748037399999998
688,Burkina Faso,2001,0.16,0.637748952
689,Burkina Faso,2002,0.2,0.9028090259999999
690,Burkina Faso,2003,0.37,1.880815092
691,Burkina Faso,2004,0.4,3.037679629
692,Burkina Faso,2005,0.47,4.7202902060000005
693,Burkina Faso,2006,0.63,7.354840819
694,Burkina Faso,2007,0.75,13.05253397
695,Burkina Faso,2008,0.92,20.62907931
696,Burkina Faso,2009,1.13,25.3304628
697,Burkina Faso,2010,2.4,36.72938024
698,Burkina Faso,2011,3.0,48.02719397
699,Burkina Faso,2012,3.73,60.60765215
700,Burkina Faso,2013,9.1,66.37728295
701,Burundi,1990,,0.0
702,Burundi,1991,,0.0
703,Burundi,1992,,0.0
704,Burundi,1993,,0.005879704
705,Burundi,1994,,0.006184101
706,Burundi,1995,,0.009082238000000001
707,Burundi,1996,,0.008912568000000001
708,Burundi,1997,,0.009718077
709,Burundi,1998,,0.009615874
