County,Town,Date/Time,Distance,Name,Cost,Month,Day,Quarter,Weekday
NL,Stonington,"Sat, 3/4 8:00 AM",5K,Kelley's Pace Hare Hop 5K,"$25 through 2/24, $30 through 3/3, ?? Raceday; Ages 5-18 - $10 off",3,4,1,6
L,Roxbury,"Sat, 3/4 8:30 AM",2.4M,Roxbury Road Race Series,"$5, or $50 membership for the year",3,4,1,6
NH,New Haven,"Sun, 3/5 9:00 AM",5K,PLR ShamRock & Roll,"$28 through 12/31, $30 through 1/31, $32 through 3/4, $35 raceday",3,5,1,7
F,Norwalk,"Sun, 3/5 9:30 AM",25K,Boston Buildup,"$20 (or $18 online) for first race, $17 (or $15 online) for subsequent buildup races;
 $47 for series ($45 online) prior to firs race, $50 afterwards",3,5,1,7
L,Kent,"Sun, 3/5 11:00 AM",1M,Cheese Doodle Dash,"SOLD OUT -$20, $10 students, $5 kids or Donations accepted, see flyer",3,5,1,7
L,Kent,"Sun, 3/5 11:00 AM",3M,Cheese Doodle Dash,"SOLD OUT -$20, $10 students, $5 kids or Donations accepted, see flyer",3,5,1,7
NL,Norwich,"Sun, 3/5 12:00 PM",5K,Rose City Shenanigans 5K,"$25 through 3/3, $30 raceday",3,5,1,7
L,Roxbury,"Sat, 3/11 8:30 AM",3.52M,Roxbury Road Race Series,"$5, or $50 membership for the year",3,11,1,6
NH,Derby,"Sat, 3/11 8:30 AM",1M,Dashin' Thru Derby,"$20, $15 for 17 and under",3,11,1,6
NH,Derby,"Sat, 3/11 9:30 AM",1M,Dashin' Thru Derby,"$20, $15 for 17 and under",3,11,1,6
NH,Derby,"Sat, 3/11 9:30 AM",3M,Dashin' Thru Derby,"$20, $15 for 17 and under",3,11,1,6
M,Old Saybrook,"Sat, 3/11 9:00 AM",5K,Shamrock Run,"$20, $25 raceday",3,11,1,6
F,Stamford,"Sat, 3/11 10:00 AM",5K,Shamrock Stroll,Free,3,11,1,6
L,Watertown,"Sat, 3/11 10:00 AM",3.5M,Shamrock Shuffle,.$25,3,11,1,6
W,Windham,"Sat, 3/11 10:00 AM",5K,St. Patty's Blarney Stone,.$15,3,11,1,6
H,Southington,"Sat, 3/11 10:00 AM",5K,O'Shenanigans,"$25 through 1/26, $30 through 2/28, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 2/28, $20 afterwards SOLD OUT",3,11,1,6
L,Woodbury,"Sat, 3/11 12:00 PM",1.4M,Chase the Leprechaun Scamper,"$20, $10 students, $5 kids or Donations accepted, see flyer",3,11,1,6
L,Woodbury,"Sat, 3/11 12:00 PM",2.8M,Chase the Leprechaun Scamper,"$20, $10 students, $5 kids or Donations accepted, see flyer",3,11,1,6
F,Monroe,"Sun, 3/12 9:00 AM",5K,Pi Day 5K,"$25, $20 for Monroe teachers & students, $50 to have your name printed on shirt",3,12,1,7
W,Putnam,"Sun, 3/12 1:00 PM",5K,Courthouse O'Putnam 5K,"$25 through 1/1, $30 through 3/1, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 3/1, $20 afterwards",3,12,1,7
T,Bolton,"Sun, 3/12 1:00 PM",5M,Bolton Road Race,"$20 through 12/31, $25 through 2/15, $30 through 3/11, $35 raceday",3,12,1,7
L,Roxbury,"Sat, 3/18 8:30 AM",3.52M,Roxbury Road Race Series,"$5, or $50 membership for the year",3,18,1,6
H,Bristol,"Sat, 3/18 9:30 AM",2M,Bristol Shamrock 2 Mile Road Race,"$22 through 3/11, $25 after",3,18,1,6
H,Bristol,"Sat, 3/18 10:30 AM",5K,Bristol Shamrock 5 Mile Road Race,"$22 through 3/11, $25 after",3,18,1,6
NL,East Lyme,"Sat, 3/18 9:45 AM",5K,O'Niantic 5K,"$25 through 1/1, $30 through 3/7, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 3/7, $20 afterwards",3,18,1,6
NL,Groton,"Sat, 3/18 10:00 AM",5K,Mystic Irish 5K Road Race,"$20, $25 with laces",3,18,1,6
H,Hartford,"Sun, 3/19 1:00 PM",5K,O'Hartford 5K,"$25 through 1/1, $30 through 3/8, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 3/8, $20 afterwards",3,19,1,7
NH,Madison,"Sun, 3/19 11:00 AM",5M,Leprechaun Run,.$25,3,19,1,7
L,Bridgewater,"Sat, 3/25 8:30 AM",5K,XTERRA Shepaug Run-Raiser,"$35 until 2/14, then $45, $50 raceday",3,25,1,6
L,Roxbury,"Sat, 3/25 8:30 AM",3.7M,Roxbury Road Race Series,"$5, or $50 membership for the year",3,25,1,6
NL,Sprague,"Sat, 3/25 8:30 AM",1M,Lickety Split Mile,"$23, $28 race day, SHS Students $10, $15 raceday, same price for 1 or 2 races",3,25,1,6
F,Stratford,"Sat, 3/25 9:00 AM",5K,Max's Shamrock 5K,$30 through 3/22,3,25,1,6
NL,Sprague,"Sat, 3/25 9:30 AM",3M,St. Joseph School 3 Mile Road Race,"$23, $28 race day, SHS Students $10, $15 raceday, same price for 1 or 2 races",3,25,1,6
NH,Milford,"Sat, 3/25 10:00 AM",5K,4th Annual James Mattioli 5K,$26 through 3/21,3,25,1,6
W,Windham,"Sat, 3/25 10:00 AM",3.25M,3.25 Road Race - Old School,.$3.25,3,25,1,6
F,Fairfield,"Sun, 3/26 7:30 AM",10K,Boston Blowout,"$15, $20 raceday",3,26,1,7
F,Fairfield,"Sun, 3/26 7:30 AM",20K,Boston Blowout,"$18, $23 raceday",3,26,1,7
F,Fairfield,"Sun, 3/26 7:30 AM",30K,Boston Blowout,"$20, $25 raceday",3,26,1,7
H,West Hartford,"Sun, 3/26 10:30 AM",5K,Johnny's Jog For Charity,.$35 [Postponed from 3/19],3,26,1,7
F,Fairfield,"Sun, 3/26 11:00 AM",4M,St. Patrick's Day Classic,$22(Postponed from 3/19),3,26,1,7
H,Rocky Hill,"Sun, 3/26 10:00 AM",19.6M,Asta Memorial Challenge 19.6 Miles,.$2,3,26,1,7
NH,West Haven,"Sat, 4/1 8:00 AM",26.2M,Savin Rock Marathon,"$85 through 12/31/16, $90 through 2/28, $95 through 3/29",4,1,2,6
NH,West Haven,"Sat, 4/1 8:00 AM",13.1M,Savin Rock Half-Marathon,"$60 through 12/31/16, $65 through 2/28, $70 through 3/29",4,1,2,6
L,Roxbury,"Sat, 4/1 8:30 AM",4.2M,Roxbury Road Race Series,"$5, or $50 membership for the year",4,1,2,6
NH,Naugatuck,"Sat, 4/1 9:00 AM",5K,Naugatuck St. Patrick's Day Road Race,"$30, $35 raceday, $15 student[POSTPONED FROM 3/18]",4,1,2,6
NH,Naugatuck,"Sat, 4/1 9:00 AM",10K,Naugatuck St. Patrick's Day Road Race,"$30, $35 raceday, $15 student[POSTPONED FROM 3/18]",4,1,2,6
H,Rocky Hill,"Sat, 4/1 9:00 AM",5K Obstacle Team,Terrier Tough,"$20, $10 students",4,1,2,6
F,Bridgeport,"Sat, 4/1 9:00 AM",5K,Sound Tigers 5K,"$30 through 3/1, $35 through 3/31, $40 raceday",4,1,2,6
F,Easton,"Sat, 4/1 9:30 AM",5K,April Fool's 5K Race for D.A.R.E.,"$25, $30 raceday",4,1,2,6
NL,Franklin,"Sat, 4/1 9:30 AM",5K,Patriots 5K,.$30,4,1,2,6
M,East Haddam,"Sat, 4/1 9:30 AM",13.1M,April Fools 5k Walk/Run & 1/2 Marathon,.$50,4,1,2,6
M,East Haddam,"Sat, 4/1 9:30 AM",5K,April Fools 5k Walk/Run & 1/2 Marathon,.$25,4,1,2,6
F,Newtown,"Sat, 4/1 9:30 AM",5K,Sandy Hook 5K Road Race,$30 [2000 RUNNER LIMIT],4,1,2,6
H,West Hartford,"Sat, 4/1 10:00 AM",6.55M,Greater Hartford 1/4 Marathon,"SOLD OUT- $25 (+3.00) through 10/31/16, $35 (+3.50) through 12/31/16, $40 (+3.50) through 2/28, $50 (+3.50) afterwards",4,1,2,6
T,Mansfield,"Sat, 4/1 10:00 AM",5K,CDN's Running on Insulin 5K,.$12,4,1,2,6
NH,Waterbury,"Sun, 4/2 8:30 AM",5K,Chris Corbett 5K,$25 (+2.50),4,2,2,7
NH,Hamden,"Sun, 4/2 8:30 AM",10K,Run for the Shamrock,"$35, $45 raceday",4,2,2,7
F,Bridgeport,"Sun, 4/2 9:00 AM",5K,Healthy Families 5K,$25 through 3/28,4,2,2,7
NH,Guilford,"Sun, 4/2 9:00 AM",10K,Bimblers Bash,.$25,4,2,2,7
F,Greenwich,"Sun, 4/2 9:15 AM",5K,Walk Run for Hope,"$40, $20 for 12 and under",4,2,2,7
F,Danbury,"Sun, 4/2 9:15 AM",13.1M,Danbury Road Races,"$47 through 1/1, $50 through 2/1, $52 through 4/1, $55 raceday",4,2,2,7
F,Danbury,"Sun, 4/2 9:22 AM",5K,Danbury Road Races 5K,"$26 through 1/1, $27 through 2/1, $28 through 4/1, $30 raceday",4,2,2,7
NL,Waterford,"Sun, 4/2 10:00 AM",5K,Great Strides 5K Road Race,"$20 through 3/31, $25 raceday; Students - $5 off; Teams of 5+ - $10 per runner before 3/31",4,2,2,7
T,Mansfield,"Sun, 4/2 11:00 AM",4K,James Malaney Pharmacy Fun Run,"$15, $20 raceday; Students - $10, $15 raceday",4,2,2,7
NH,Milford,"Sun, 4/2 11:30 AM",5K,Dash for Danni,"$25, 18 and under - $20",4,2,2,7
L,Bridgewater,"Sat, 4/8 7:00 AM",50M,XTERRA Shepaug Run-Raiser,"$100 until 2/14, then $110, $115 raceday POSTPONED from 3/25",4,8,2,6
L,Bridgewater,"Sat, 4/8 7:00 AM",50K,XTERRA Shepaug Run-Raiser,"$85 until 2/14, then $95, $100 raceday POSTPONED from 3/25",4,8,2,6
L,Bridgewater,"Sat, 4/8 8:00 AM",25K,XTERRA Shepaug Run-Raiser,"$50 until 2/14, then $60, $65 raceday POSTPONED from 3/25",4,8,2,6
L,Bridgewater,"Sat, 4/8 9:00 AM",10K,XTERRA Shepaug Run-Raiser,"$35 until 2/14, then $45, $50 raceday POSTPONED from 3/25",4,8,2,6
L,Roxbury,"Sat, 4/8 8:30 AM",3.7M,Roxbury Road Race Series,$5 contribution per runner,4,8,2,6
H,Rocky Hill,"Sat, 4/8 9:00 AM",5K,Rocky Hill CJB Library Road Race,.$25,4,8,2,6
NH,North Haven,"Sat, 4/8 9:00 AM",5K,QU PA Run For Your Life 5K,"$20, $25 raceday",4,8,2,6
F,Norwalk,"Sat, 4/8 9:00 AM",5K,Bear Breakway,.$25,4,8,2,6
NH,New Haven,"Sat, 4/8 9:00 AM",5K,Coach T Memorial Run for Youth,$20 through 3/22,4,8,2,6
H,Manchester,"Sat, 4/8 10:00 AM",5K,Finally Spring,"$20 until 2/15, $25 Afterwards",4,8,2,6
NL,Salem,"Sat, 4/8 10:00 AM",5K,Salem Road Race,.$25,4,8,2,6
F,Greenwich,"Sun, 4/9 7:30 AM",13.1M,Greenwich Cup Half Marathon,.$69,4,9,2,7
F,Sherman,"Sun, 4/9 8:30 AM",1M,Sprinting in Sherman,$20; Ages 17 & under - $15,4,9,2,7
F,Sherman,"Sun, 4/9 8:30 AM",3M,Sprinting in Sherman,$20; Ages 17 & under - $15,4,9,2,7
T,Vernon,"Sun, 4/9 9:00 AM",5K,Strong Family Farm Chicken Run,.$20,4,9,2,7
F,Fairfield,"Sun, 4/9 9:00 AM",3.5M,Donnelly Dash,"$26, $30 raceday, $18 students, $8 for 70 and over",4,9,2,7
NH,New Haven,"Sun, 4/9 10:00 AM",4M,Julia's Run for Children,"$20 through 3/1 and $15 for students, Afterwatrds $22 and $17 for students",4,9,2,7
F,Sherman,"Sun, 4/9 10:00 AM",1M,Sprinting in Sherman,$20; Ages 17 & under - $15,4,9,2,7
F,Sherman,"Sun, 4/9 10:00 AM",5M,Sprinting in Sherman,$20; Ages 17 & under - $15,4,9,2,7
M,Middletown,"Sun, 4/9 11:30 AM",13.1M,Harvard Pilgrim Middletown Half,"$55 through 1/1, $65 through 3/29, $75 afterwards; Ages 12-22 - $5 off",4,9,2,7
M,Middletown,"Sun, 4/9 11:30 AM",4M,Harvard Pilgrim Middletown Legends Run,"$25 through 1/1, $30 through 3/29, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 3/29, $20 afterwards",4,9,2,7
F,Sherman,"Sun, 4/9 12:00 AM",1M,Sprinting in Sherman,$20; Ages 17 & under - $15,4,9,2,7
L,Roxbury,"Sat, 4/15 8:30 AM",5.7M,Roxbury Road Race Series,"$5, or $50 membership for the year",4,15,2,6
M,Old Saybrook,"Sat, 4/15 8:30 AM",5K,LifeZone 5K Challange,.$25,4,15,2,6
H,Bloomfield,"Sat, 4/15 8:30 AM",50K,Traprock 50K,.$65,4,15,2,6
W,Canterbury,"Sat, 4/15 9:00 AM",10K,Canterbury 10K Road Race,"$20 through 2/28, $25 through 3/30, $30 through 4/14, $35 raceday",4,15,2,6
F,Darien,"Sat, 4/15 9:00 AM",5K,Bunny Boogie,"$20, $25 raceday; Ages 16 & under - $12, $15 raceday",4,15,2,6
H,Bloomfield,"Sat, 4/15 9:30 AM",17K,Traprock 50K,.$50,4,15,2,6
H,Windsor Locks,"Sat, 4/15 10:00 AM",10K,Bradley Road Race,"$25 through 3/31, $30 afterwards",4,15,2,6
H,Windsor Locks,"Sat, 4/15 10:00 AM",5K,Bradley Road Race,"$25 through 3/31, $30 afterwards",4,15,2,6
NL,Waterford,"Sat, 4/15 10:00 AM",5K,Race to Recovery,.$30,4,15,2,6
NH,Woodbridge,"Sat, 4/15 10:30 AM",5K,Be the Match 5K,"$20, $15 for 12 and under",4,15,2,6
T,Tolland,"Sat, 4/15 12:00 PM",5K,Spirit of Spring 5K,"$25, $10 for ages 22 and under (POSTPONED FROM 4/1)",4,15,2,6
T,Vernon,"Sun, 4/16 8:00 AM",5K,Hoppin Hodges,Donations Accepted,4,16,2,7
NH,Derby,"Sat, 4/22 8:30 AM",5K,Greenway 5K,"$25 through 4/11, $30 afterwards",4,22,2,6
F,Stratford,"Sat, 4/22 8:30 AM",6 hours,Enchanted Forest Ultra Run,"$75 through 1/31, $85 afterwards",4,22,2,6
L,Roxbury,"Sat, 4/22 8:30 AM",3.6M,Roxbury Road Race Series,"$5, or $50 membership for the year",4,22,2,6
H,Enfield,"Sat, 4/22 8:30 AM",5K,Four Rivers 5K,$25; Ages 11 & under - $15,4,22,2,6
L,Washington,"Sat, 4/22 9:00 AM",5K,Earth Day 5K,.$20,4,22,2,6
F,Stamford,"Sat, 4/22 9:00 AM",5K,Newfield Elementary School 5K,.$25,4,22,2,6
F,Newtown,"Sat, 4/22 10:00 AM",5K,Super Scout 5K Challenge,"$30, $35 raceday",4,22,2,6
F,Westport,"Sat, 4/22 10:00 AM",5K,Fairfield County Heart Walk & 5k Run,"$35, $40 raceday",4,22,2,6
W,Pomfret,"Sat, 4/22 10:00 AM",5K,Camper Scamper 5K Road Race,.$20,4,22,2,6
H,Windsor,"Sat, 4/22 10:40 AM",5K,1040 EZ Run,"$20 through 54/15, $25 afterwards",4,22,2,6
NL,North Stonington,"Sat, 4/22 11:00 AM",10K,Chikumbuso 10K/5K Challenge,.$25,4,22,2,6
NL,North Stonington,"Sat, 4/22 11:00 AM",5K,Chikumbuso 10K/5K Challenge,.$25,4,22,2,6
L,New Milford,"Sat, 4/22 12:00 PM",5K,Pratt Nature Center Dirt Dash,"$20 13 and over, $15 12 and under",4,22,2,6
NL,Stonington,"Sat, 4/22 1:00 PM",5K,Donahue Memorial 5K,"$20, $25 raceday",4,22,2,6
M,Middlefield,"Sun, 4/23 8:00 AM",5K,Sprint into Spring,$25; $20 each for groups of 3+,4,23,2,7
M,Middlefield,"Sun, 4/23 8:00 AM",10K,Sprint into Spring,$30; $25 each for groups of 3+,4,23,2,7
F,Danbury,"Sun, 4/23 8:00 AM",5K,Run for Animals 5K,"$30, $35 with dog",4,23,2,7
F,Westport,"Sun, 4/23 8:30 AM",5K,Minute Man Race,"$35 through 4/10, $40 through 3/17, $50 through 4/23",4,23,2,7
F,Westport,"Sun, 4/23 8:40 AM",10K,Minute Man Race,"$30 through 4/10, $35 through 3/17, $40 through 4/23",4,23,2,7
F,Shelton,"Sun, 4/23 9:00 AM",5K,Moving with Hope 5K Race,$25; $10 high/grammar school students; Age 70+ - $10 CANCELLED,4,23,2,7
L,Bethlehem,"Sun, 4/23 9:00 AM",5K,Bring on the Heat,"$25, $30 raceday",4,23,2,7
H,Hartland,"Sun, 4/23 9:00 AM",5M,Water Protectors 5 Miler,.$20,4,23,2,7
M,Old Saybrook,"Sun, 4/23 9:00 AM",5K,Seaside Shuffle,"$20, $25 raceday",4,23,2,7
NL,East Lyme,"Sun, 4/23 10:00 AM",5K,Boardwalk 5K,"$25, $20 students",4,23,2,7
NH,Meriden,"Sun, 4/23 10:00 AM",5K,Rotary Daffodil 5K,"$25, $30 raceday",4,23,2,7
NH,Guilford,"Sun, 4/23 10:00 AM",5K,Run for Veterans,.$25,4,23,2,7
NH,Guilford,"Sun, 4/23 10:00 AM",10K,Run for Veterans,.$25,4,23,2,7
H,Farmington,"Sun, 4/23 1:00 PM",5K,East Farms Spring Ahead 5K,"$20 through 4/7, $25 afterwards",4,23,2,7
F,Newtown,"Sat, 4/29 8:00 AM",10K,Rooster Run,"$25, $30 raceday; Ages 5-17 - $15 [Activity 314102A for adults, 314102B for children]",4,29,2,6
F,Newtown,"Sat, 4/29 8:00 AM",5K,Rooster Run,"$25, $30 raceday; Ages 5-17 - $15 [Activity 314102A for adults, 314102B for children]",4,29,2,6
L,Roxbury,"Sat, 4/29 8:30 AM",4.8M,Roxbury Road Race Series,"$5, or $50 membership for the year",4,29,2,6
F,Norwalk,"Sat, 4/29 8:30 AM",5K,Whittingham Cancer Center Walk & Sally's Run,.$30,4,29,2,6
M,East Hampton,"Sat, 4/29 9:00 AM",5K,Seeds of Hope,"$25, $30 raceday",4,29,2,6
NH,Southbury,"Sat, 4/29 9:00 AM",5K,Hoof it for Haiti,"$25, $30 raceday",4,29,2,6
NH,Milford,"Sat, 4/29 9:00 AM",5K,Colony Grill/PLM All You Need Is Love 5K,"$35, $25 for Military and First Responders, $0 for students",4,29,2,6
NL,Lisbon,"Sat, 4/29 10:00 AM",5K,Joe Kelley Memorial 5K Road Race,$25 (+2.95),4,29,2,6
H,Windsor,"Sat, 4/29 10:00 AM",5K,Blue & Green 5K,.$25,4,29,2,6
L,Goshen,"Sat, 4/29 11:00 AM",5M,Shane Kinsella Memorial Run,"$20 (+2.69) through 4/22, $25 afterwards; Family - $50",4,29,2,6
M,Cromwell,"Sat, 4/29 11:00 AM",5K,Mahoney Sabol 5K,"$27 through 1/1, $32 through 4/18, $37 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 4/18, $20 afterwards",4,29,2,6
L,Kent,"Sun, 4/30 6:30 AM",100K,Jack Bristol Lake Waramaug Ultra Races,"$90 through 3/31, $100 after",4,30,2,7
L,Kent,"Sun, 4/30 6:30 AM",50M,Jack Bristol Lake Waramaug Ultra Races,"$90 through 3/31, $100 after",4,30,2,7
L,Kent,"Sun, 4/30 7:30 AM",50K,Jack Bristol Lake Waramaug Ultra Races,"$90 through 3/31, $100 after",4,30,2,7
H,East Hartford,"Sun, 4/30 8:00 AM",5K,Run for the Babies,"$30 through 4/16, $40 after",4,30,2,7
F,Greenwich,"Sun, 4/30 8:30 AM",5K,BCA 5K Run For Hope,.$40,4,30,2,7
NH,Cheshire,"Sun, 4/30 8:30 AM",13.1M,Cheshire Half Marathon & 5K,"$60 through 3/1, $65 through 4/29, $70 raceday",4,30,2,7
NH,Cheshire,"Sun, 4/30 8:36 AM",5K,Cheshire Half Marathon & 5K,"$30 through 3/1, $32 through 4/29, $35 raceday ($5 off for students)",4,30,2,7
NH,Hamden,"Sun, 4/30 9:00 AM",5K,Sprint Into Spring Glen,"$25, $30 raceday; Spring Glen residents - $22, $27 raceday",4,30,2,7
F,Westport,"Sun, 4/30 9:00 AM",5K,Green Farms Academy Dragon Dash,".$25, $30 raceday; Ages 17 & under - $18, $20 raceday",4,30,2,7
F,Shelton,"Sun, 4/30 9:00 AM",5K,SEEF Run/Walk for Education,.$25,4,30,2,7
NL,New London,"Sun, 4/30 9:00 AM",Youth Duathlon,"Proud to ""DU"" it",$15 (+2.50); $55 (+3.30) for Triple Crown Series,4,30,2,7
H,Farmington,"Sun, 4/30 10:00 AM",5K,Amy's Angels Run 5K,$25 (+3.00),4,30,2,7
F,Brookfield,"Sun, 4/30 10:00 AM",5K,We Care 5K,.$22,4,30,2,7
F,Bethel,"Sun, 4/30 11:00 AM",Kids 1M,Healthy Kids Running Series - Week 1,$35 for 5-week series [4th - 8th grade ONLY],4,30,2,7
H,Simsbury,"Sun, 4/30 12:00 PM",10K,River Run,"$30 through 4/17, $35 through 4/28, $40 raceday",4,30,2,7
H,Simsbury,"Sun, 4/30 12:10 PM",5K,River Run,"$25 through 4/17, $30 through 4/28, $35 raceday",4,30,2,7
F,Stratford,"Wed, 5/3 6:00 PM",5K,Stratford Spring Series,"$10, for $25 for whole series",5,3,2,3
W,Windham,"Sat, 5/6 8:10 AM",13.1M,Willimantic Classic - Thread City 13.1,"$45 through ??, $55",5,6,2,6
W,Windham,"Sat, 5/6 8:20 AM",10K,Willimantic Classic - Tailored 10K,"$25 through ??, $30",5,6,2,6
W,Windham,"Sat, 5/6 8:30 AM",5K,Willimantic Classic - Frog Bridge 5K,"$20 through ??, $25; Ages 13-18 - $15, Kids 12 & under - $10",5,6,2,6
L,Roxbury,"Sat, 5/6 8:30 AM",4.3M,Roxbury Road Race Series,$5 contribution per runner,5,6,2,6
H,Granby,"Sat, 5/6 9:00 AM",10K,Granby Road Race,.$35,5,6,2,6
H,Granby,"Sat, 5/6 9:00 AM",5K,Granby Road Race,.$30,5,6,2,6
H,Enfield,"Sat, 5/6 9:00 AM",5K,Cinco K Mayo,"$25, $30 raceday",5,6,2,6
H,West Hartford,"Sat, 5/6 9:00 AM",5K,HCBF Joseph Cassidy Memorial 5K,.$25,5,6,2,6
F,Westport,"Sat, 5/6 9:00 AM",5K,Susan G. Komen Race for the Cure,"Timed option - $25 through 1/31, $35 through 4/28, $40 afterwards;
 Youth - $10 through 1/31, $15 through 4/28, $20 afterwards",5,6,2,6
F,Trumbull,"Sat, 5/6 9:30 AM",5K,St. Thereas School Tiger Tail,.$25,5,6,2,6
NH,Beacon Falls,"Sat, 5/6 10:00 AM",5K,Jill's Run for MS,"$25, $30 raceday",5,6,2,6
M,East Hampton,"Sat, 5/6 10:00 AM",5K,Belltown Spring Sprint 5K,"$20, $10 17 and under, $10 65 and over, race day?",5,6,2,6
NH,Milford,"Sat, 5/6 10:00 AM",5K,Tracy's Run,"$20, $25 raceday",5,6,2,6
