Entity,Code,Year,Mobile cellular subscriptions
Aruba,ABW,1988,0
Aruba,ABW,1989,0
Aruba,ABW,1990,0
Aruba,ABW,1991,0
Aruba,ABW,1992,0.029310471
Aruba,ABW,1995,2.138784453
Aruba,ABW,1996,3.605985937
Aruba,ABW,1997,3.98141538
Aruba,ABW,1998,6.16435217
Aruba,ABW,1999,13.48254011
Aruba,ABW,2000,16.50927821
Aruba,ABW,2001,57.05427692
Aruba,ABW,2002,65.05605558
Aruba,ABW,2003,72.10431377
Aruba,ABW,2004,99.64250268
Aruba,ABW,2005,103.3849507
Aruba,ABW,2006,108.1325002
Aruba,ABW,2007,112.2180618
Aruba,ABW,2008,119.2038996
Aruba,ABW,2009,126.2103374
Aruba,ABW,2010,129.72824
Aruba,ABW,2012,131.8565401
Aruba,ABW,2013,134.873823
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0.027108122
Australia,AUS,1988,0.19063123
Australia,AUS,1989,0.560966912
Australia,AUS,1990,1.081736077
Australia,AUS,1991,1.682627998
Australia,AUS,1992,2.835372025
Australia,AUS,1993,3.892879466
Australia,AUS,1994,6.807810813
Australia,AUS,1995,12.37017796
Australia,AUS,1996,21.7568676
Australia,AUS,1997,24.66137476
Australia,AUS,1998,26.16715738
Australia,AUS,1999,33.18891382
Australia,AUS,2000,44.45626668
Australia,AUS,2001,57.12450962
Australia,AUS,2002,64.2670099
Australia,AUS,2003,71.9035383
Australia,AUS,2004,81.50958522
Australia,AUS,2005,89.76286231
Australia,AUS,2006,94.70140374
Australia,AUS,2007,100.0646043
Australia,AUS,2008,102.1940537
Australia,AUS,2009,100.7390114
Australia,AUS,2010,100.4263074
Australia,AUS,2011,104.610551
Australia,AUS,2012,105.585695
Australia,AUS,2013,106.8434974
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0.128856131
Austria,AUT,1986,0.25189156
Austria,AUT,1987,0.345358749
Austria,AUT,1988,0.48515954
Austria,AUT,1989,0.664667026
Austria,AUT,1990,0.96086037
Austria,AUT,1991,1.493599184
Austria,AUT,1992,2.211730703
Austria,AUT,1993,2.805498884
Austria,AUT,1994,3.504549191
Austria,AUT,1995,4.80296973
Austria,AUT,1996,7.475118128
Austria,AUT,1997,14.47070198
Austria,AUT,1998,28.62886002
Austria,AUT,1999,53.07787628
Austria,AUT,2000,76.26932886
Austria,AUT,2001,81.26031128
Austria,AUT,2002,83.24472516
Austria,AUT,2003,89.33569564
Austria,AUT,2004,97.54481697
Austria,AUT,2005,105.1755856
Austria,AUT,2006,112.124675
Austria,AUT,2007,119.2569828
Austria,AUT,2008,129.6551516
Austria,AUT,2009,136.57901
Austria,AUT,2010,145.6928199
Austria,AUT,2011,154.426039
Austria,AUT,2012,160.5397387
Austria,AUT,2013,156.2304116
Azerbaijan,AZE,1980,0
Azerbaijan,AZE,1981,0
Azerbaijan,AZE,1982,0
Azerbaijan,AZE,1983,0
Azerbaijan,AZE,1984,0
Azerbaijan,AZE,1985,0
Azerbaijan,AZE,1986,0
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,0
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0.006514549
Azerbaijan,AZE,1995,0.077212068
Azerbaijan,AZE,1996,0.216497822
Azerbaijan,AZE,1997,0.504939253
Azerbaijan,AZE,1998,0.814081353
Azerbaijan,AZE,1999,4.597452067
Azerbaijan,AZE,2000,5.178780011
Azerbaijan,AZE,2001,8.907406533
Azerbaijan,AZE,2002,9.592056203
Azerbaijan,AZE,2003,12.62937463
Azerbaijan,AZE,2004,17.20615651
Azerbaijan,AZE,2005,26.18119583
Azerbaijan,AZE,2006,38.35542641
Azerbaijan,AZE,2007,51.52721935
Azerbaijan,AZE,2008,73.75810024
Azerbaijan,AZE,2009,86.32194952
Azerbaijan,AZE,2010,100.0593201
Azerbaijan,AZE,2011,109.9720704
Azerbaijan,AZE,2012,108.7683381
Azerbaijan,AZE,2013,107.6134072
Bahamas,BHS,1980,0
Bahamas,BHS,1981,0
Bahamas,BHS,1982,0
Bahamas,BHS,1983,0
Bahamas,BHS,1984,0
Bahamas,BHS,1985,0
Bahamas,BHS,1986,0
Bahamas,BHS,1987,0
Bahamas,BHS,1988,0
Bahamas,BHS,1989,0
Bahamas,BHS,1990,0.749791291
Bahamas,BHS,1991,0.773644017
Bahamas,BHS,1992,0.977087303
Bahamas,BHS,1993,0.885634717
Bahamas,BHS,1995,1.464024281
Bahamas,BHS,1996,1.744231135
Bahamas,BHS,1997,2.161446077
Bahamas,BHS,1998,2.784158716
Bahamas,BHS,1999,5.422195868
Bahamas,BHS,2000,10.58708553
Bahamas,BHS,2001,19.98481873
Bahamas,BHS,2002,39.3992344
Bahamas,BHS,2003,38.72582567
Bahamas,BHS,2004,57.69447891
Bahamas,BHS,2005,69.21279415
Bahamas,BHS,2006,75.37855087
Bahamas,BHS,2007,109.340767
Bahamas,BHS,2008,102.7875065
Bahamas,BHS,2009,101.2186453
Bahamas,BHS,2010,118.8292307
Bahamas,BHS,2011,81.5628489
Bahamas,BHS,2012,80.65383375
Bahamas,BHS,2013,76.05187427
Bahrain,BHR,1980,0
Bahrain,BHR,1981,0
Bahrain,BHR,1982,0
Bahrain,BHR,1983,0
Bahrain,BHR,1984,0
Bahrain,BHR,1985,0
Bahrain,BHR,1986,0.142563513
Bahrain,BHR,1987,0.381286664
Bahrain,BHR,1988,0.620306327
Bahrain,BHR,1989,0.883522952
Bahrain,BHR,1990,1.037818786
Bahrain,BHR,1991,1.442965201
Bahrain,BHR,1992,1.852315921
Bahrain,BHR,1993,2.120546339
Bahrain,BHR,1994,3.207749877
Bahrain,BHR,1995,4.895960832
Bahrain,BHR,1996,6.913956774
Bahrain,BHR,1997,9.799631738
Bahrain,BHR,1998,14.90809458
Bahrain,BHR,1999,20.82466731
Bahrain,BHR,2000,30.78644018
Bahrain,BHR,2001,42.87476619
Bahrain,BHR,2002,53.10146463
Bahrain,BHR,2003,57.39322693
Bahrain,BHR,2004,79.19074229
Bahrain,BHR,2005,87.21698081
Bahrain,BHR,2006,95.42373897
Bahrain,BHR,2007,108.1005238
Bahrain,BHR,2008,129.0979339
Bahrain,BHR,2009,117.6607732
Bahrain,BHR,2010,125.2084477
Bahrain,BHR,2011,131.009991
Bahrain,BHR,2012,161.1670576
Bahrain,BHR,2013,165.9088811
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0.000222359
Bangladesh,BGD,1993,0.00043517
Bangladesh,BGD,1994,0.000940619
Bangladesh,BGD,1995,0.0020856
Bangladesh,BGD,1996,0.00326795
Bangladesh,BGD,1997,0.020809104
Bangladesh,BGD,1998,0.058833439
Bangladesh,BGD,1999,0.114644643
Bangladesh,BGD,2000,0.210751714
Bangladesh,BGD,2001,0.385958523
Bangladesh,BGD,2002,0.784635571
Bangladesh,BGD,2003,0.980702181
Bangladesh,BGD,2004,1.969454675
Bangladesh,BGD,2005,6.28776238
Bangladesh,BGD,2006,13.20573922
Bangladesh,BGD,2007,23.46762823
Bangladesh,BGD,2008,30.16828408
Bangladesh,BGD,2009,34.35334451
Bangladesh,BGD,2010,44.94535882
Bangladesh,BGD,2011,55.19256723
Bangladesh,BGD,2012,62.82023906
Bangladesh,BGD,2013,74.42964608
Barbados,BRB,1980,0
Barbados,BRB,1981,0
Barbados,BRB,1982,0
Barbados,BRB,1983,0
Barbados,BRB,1984,0
Barbados,BRB,1985,0
Barbados,BRB,1986,0
Barbados,BRB,1987,0
Barbados,BRB,1988,0
Barbados,BRB,1989,0
Barbados,BRB,1990,0
Barbados,BRB,1991,0.186797348
Barbados,BRB,1992,0.305024084
Barbados,BRB,1993,0.59607052
Barbados,BRB,1994,1.130539817
Barbados,BRB,1995,1.753272662
Barbados,BRB,1996,2.380970426
Barbados,BRB,1997,3.028276003
Barbados,BRB,1998,4.521988167
Barbados,BRB,1999,7.628652994
Barbados,BRB,2000,10.6542161
Barbados,BRB,2001,19.79567344
Barbados,BRB,2002,36.06098158
Barbados,BRB,2003,51.69027189
Barbados,BRB,2004,73.5247332
Barbados,BRB,2005,75.37065739
Barbados,BRB,2006,86.2492407
Barbados,BRB,2007,93.23830793
Barbados,BRB,2008,103.972136
Barbados,BRB,2009,120.8077962
Barbados,BRB,2010,124.8452189
Barbados,BRB,2011,123.4606322
Barbados,BRB,2012,123.3298378
Barbados,BRB,2013,108.1027529
Belarus,BLR,1980,0
Belarus,BLR,1981,0
Belarus,BLR,1982,0
Belarus,BLR,1983,0
Belarus,BLR,1984,0
Belarus,BLR,1985,0
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0.003162103
Belarus,BLR,1994,0.016869419
Belarus,BLR,1995,0.057875715
Belarus,BLR,1996,0.064472565
Belarus,BLR,1997,0.080697147
Belarus,BLR,1998,0.120576083
Belarus,BLR,1999,0.23375711
Belarus,BLR,2000,0.494446704
Belarus,BLR,2001,1.394421246
Belarus,BLR,2002,4.695385079
Belarus,BLR,2003,11.42668966
Belarus,BLR,2004,23.03795343
Belarus,BLR,2005,42.41718896
Belarus,BLR,2006,61.95195003
Belarus,BLR,2007,72.61067076
Belarus,BLR,2008,85.05828031
Belarus,BLR,2009,101.6840082
Belarus,BLR,2010,108.8697059
Belarus,BLR,2011,113.1688625
Belarus,BLR,2012,113.5179254
Belarus,BLR,2013,118.786176
Belgium,BEL,1980,0
Belgium,BEL,1981,0
Belgium,BEL,1982,0
Belgium,BEL,1983,0
Belgium,BEL,1984,0
Belgium,BEL,1985,0
Belgium,BEL,1986,0.038348549
Belgium,BEL,1987,0.072839954
Belgium,BEL,1988,0.192853855
Belgium,BEL,1989,0.309387231
Belgium,BEL,1990,0.429735061
Belgium,BEL,1991,0.513631256
Belgium,BEL,1992,0.611545879
Belgium,BEL,1993,0.671587939
Belgium,BEL,1994,1.264320986
Belgium,BEL,1995,2.315095365
Belgium,BEL,1996,4.694050625
Belgium,BEL,1997,9.548274196
Belgium,BEL,1998,17.1799361
Belgium,BEL,1999,31.11171947
Belgium,BEL,2000,54.81877375
Belgium,BEL,2001,74.72253301
Belgium,BEL,2002,78.36155617
Belgium,BEL,2003,82.86829993
Belgium,BEL,2004,87.46025396
Belgium,BEL,2005,91.40294897
Belgium,BEL,2006,93.00741585
Belgium,BEL,2007,100.5624899
Belgium,BEL,2008,105.283158
Belgium,BEL,2009,108.4032585
Belgium,BEL,2010,111.0841886
Belgium,BEL,2011,113.5309512
Belgium,BEL,2012,111.3315482
Belgium,BEL,2013,110.9031799
Belize,BLZ,1980,0
Belize,BLZ,1981,0
Belize,BLZ,1982,0
Belize,BLZ,1983,0
Belize,BLZ,1984,0
Belize,BLZ,1985,0
Belize,BLZ,1986,0
Belize,BLZ,1987,0
Belize,BLZ,1988,0
Belize,BLZ,1989,0
Belize,BLZ,1990,0
Belize,BLZ,1991,0
Belize,BLZ,1992,0
Belize,BLZ,1993,0.201592581
Belize,BLZ,1994,0.411172831
Belize,BLZ,1995,0.747480214
Belize,BLZ,1996,1.028369629
Belize,BLZ,1997,1.164387324
Belize,BLZ,1998,1.570531759
Belize,BLZ,1999,2.842663676
Belize,BLZ,2000,7.046515722
Belize,BLZ,2001,15.96872731
Belize,BLZ,2002,20.54645981
Belize,BLZ,2003,23.38066005
Belize,BLZ,2004,28.29761545
Belize,BLZ,2005,35.30450132
Belize,BLZ,2006,42.2961808
Belize,BLZ,2007,41.34020042
Belize,BLZ,2008,54.51721037
Belize,BLZ,2009,53.74564807
Belize,BLZ,2010,62.93070205
Belize,BLZ,2011,70.31965347
Belize,BLZ,2012,53.20712214
Belize,BLZ,2013,52.61072612
Benin,BEN,1980,0
Benin,BEN,1981,0
Benin,BEN,1982,0
Benin,BEN,1983,0
Benin,BEN,1984,0
Benin,BEN,1985,0
Benin,BEN,1986,0
Benin,BEN,1987,0
Benin,BEN,1988,0
Benin,BEN,1989,0
Benin,BEN,1990,0
Benin,BEN,1991,0
Benin,BEN,1992,0
Benin,BEN,1993,0
Benin,BEN,1994,0
Benin,BEN,1995,0.017541931
Benin,BEN,1996,0.043828702
Benin,BEN,1997,0.067517635
Benin,BEN,1998,0.096020877
Benin,BEN,1999,0.107840809
Benin,BEN,2000,0.79828865
Benin,BEN,2001,1.742181889
Benin,BEN,2002,2.950472734
Benin,BEN,2003,3.08093958
Benin,BEN,2004,5.797473518
Benin,BEN,2005,7.28722342
Benin,BEN,2006,12.50317546
Benin,BEN,2007,23.56334604
Benin,BEN,2008,40.40173435
Benin,BEN,2009,54.46885832
Benin,BEN,2010,74.39604921
Benin,BEN,2011,79.40049868
Benin,BEN,2012,83.65431589
Benin,BEN,2013,93.25782193
Bermuda,BMU,1980,0
Bermuda,BMU,1981,0
Bermuda,BMU,1982,0
Bermuda,BMU,1983,0
Bermuda,BMU,1984,0
Bermuda,BMU,1985,0
Bermuda,BMU,1986,0
Bermuda,BMU,1989,1.253828806
Bermuda,BMU,1990,1.859593966
Bermuda,BMU,1991,2.393935364
Bermuda,BMU,1992,3.200793585
Bermuda,BMU,1993,5.592013289
Bermuda,BMU,1994,8.390338101
Bermuda,BMU,1995,10.29850017
Bermuda,BMU,1996,12.9329206
Bermuda,BMU,1997,16.57633243
Bermuda,BMU,1998,20.18755219
Bermuda,BMU,1999,20.46133926
Bermuda,BMU,2000,20.68844789
Bermuda,BMU,2001,21.12459598
Bermuda,BMU,2002,47.32383702
Bermuda,BMU,2003,62.83281758
Bermuda,BMU,2004,76.66911799
Bermuda,BMU,2005,82.19904267
Bermuda,BMU,2006,93.41436498
Bermuda,BMU,2007,106.9568452
Bermuda,BMU,2008,122.1643187
Bermuda,BMU,2009,131.1485527
Bermuda,BMU,2010,135.794676
Bermuda,BMU,2012,139.5363101
Bermuda,BMU,2013,144.3197992
Bhutan,BTN,1980,0
Bhutan,BTN,1981,0
Bhutan,BTN,1982,0
Bhutan,BTN,1983,0
Bhutan,BTN,1984,0
Bhutan,BTN,1985,0
Bhutan,BTN,1986,0
Bhutan,BTN,1987,0
Bhutan,BTN,1988,0
Bhutan,BTN,1989,0
Bhutan,BTN,1990,0
Bhutan,BTN,1991,0
Bhutan,BTN,1992,0
Bhutan,BTN,1993,0
Bhutan,BTN,1994,0
Bhutan,BTN,1995,0
Bhutan,BTN,1996,0
Bhutan,BTN,1997,0
Bhutan,BTN,1998,0
Bhutan,BTN,1999,0
Bhutan,BTN,2000,0
Bhutan,BTN,2001,0
Bhutan,BTN,2002,0
Bhutan,BTN,2003,0.365843964
Bhutan,BTN,2004,3.019121524
Bhutan,BTN,2005,5.53491068
Bhutan,BTN,2006,12.33202317
Bhutan,BTN,2007,21.99686472
Bhutan,BTN,2008,36.61427504
Bhutan,BTN,2009,48.10756491
Bhutan,BTN,2010,54.99993723
Bhutan,BTN,2011,66.37918152
Bhutan,BTN,2012,75.6097824
Bhutan,BTN,2013,72.19831102
Bolivia,BOL,1980,0
Bolivia,BOL,1981,0
Bolivia,BOL,1982,0
Bolivia,BOL,1983,0
Bolivia,BOL,1984,0
Bolivia,BOL,1985,0
Bolivia,BOL,1986,0
Bolivia,BOL,1987,0
Bolivia,BOL,1988,0
Bolivia,BOL,1989,0
Bolivia,BOL,1990,0
Bolivia,BOL,1991,0.004240494
Bolivia,BOL,1992,0.021773635
Bolivia,BOL,1993,0.036460894
Bolivia,BOL,1994,0.054342489
Bolivia,BOL,1995,0.094677895
Bolivia,BOL,1996,0.427823762
Bolivia,BOL,1997,1.484397923
Bolivia,BOL,1998,2.935775674
Bolivia,BOL,1999,5.050749735
Bolivia,BOL,2000,6.858168503
Bolivia,BOL,2001,8.996551647
Bolivia,BOL,2002,11.57177993
Bolivia,BOL,2003,14.18292347
Bolivia,BOL,2004,19.60018982
Bolivia,BOL,2005,25.88431131
Bolivia,BOL,2006,30.21985533
Bolivia,BOL,2007,33.63225131
Bolivia,BOL,2008,51.23601575
Bolivia,BOL,2009,64.68655431
Bolivia,BOL,2010,70.68598048
Bolivia,BOL,2011,80.90771949
Bolivia,BOL,2012,90.44349501
Bolivia,BOL,2013,97.69945273
Bosnia and Herzegovina,BIH,1980,0
Bosnia and Herzegovina,BIH,1981,0
Bosnia and Herzegovina,BIH,1982,0
Bosnia and Herzegovina,BIH,1983,0
Bosnia and Herzegovina,BIH,1984,0
Bosnia and Herzegovina,BIH,1985,0
Bosnia and Herzegovina,BIH,1986,0
Bosnia and Herzegovina,BIH,1987,0
Bosnia and Herzegovina,BIH,1988,0
Bosnia and Herzegovina,BIH,1989,0
Bosnia and Herzegovina,BIH,1990,0
Bosnia and Herzegovina,BIH,1991,0
Bosnia and Herzegovina,BIH,1992,0
Bosnia and Herzegovina,BIH,1993,0
Bosnia and Herzegovina,BIH,1994,0
Bosnia and Herzegovina,BIH,1995,0
Bosnia and Herzegovina,BIH,1996,0.043034507
Bosnia and Herzegovina,BIH,1997,0.254525031
Bosnia and Herzegovina,BIH,1998,0.691629718
Bosnia and Herzegovina,BIH,1999,1.402104049
